EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Saint John NB	07/09/2008 12:00:00 AM	Saint John NB, September 7, 2008. Tropical storm Hanna soaked already waterlogged communities in the Maritime provinces on September 7. By the time it reached Atlantic Canada, Hanna was downgraded to a Post-Tropical storm, but remained at gale strength throughout its track along the Fundy coast of Nova Scotia, through eastern Prince Edward Island, northern Cape Breton and southern Newfoundland. The storm produced 80 km/h wind gusts and heavy rain. Saint John was hard hit by 146 mm of rain. Dozens of roads in Saint John were flooded and closed, including parts of the Southern New Brunswick Railway. Scattered power outages were also reported in New Brunswick and Nova Scotia.	0	0	0	675103	35500.6	07/09/2008 12:00:00 AM	675103							0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Queens County PE	06/09/2008 12:00:00 AM	Queens County PE, September 6-7, 2008. Storm Hanna caused heavy rainfall, resulting in infrastructure damage mainly in Queens County, with major highway damage to the Trans-Canada Highway in Cornwall.	0	0	0	1572759	82704.2	07/09/2008 12:00:00 AM	1572759							0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Colchester, Pictou, Antigonish, Inverness, Victoria, Cumberland and Halifax NS	29/08/2008 12:00:00 AM	Colchester, Pictou, Antigonish, Inverness, Victoria, Cumberland and Halifax NS, August 29 to 31, 2008. A low pressure system moved into Nova Scotia, bringing heavy rains up to 49 mm. The same system returned on August 31 and brought even more rain, up to 68 mm. The total rainfall over the three day period caused extensive flooding.	0	0	0	851326	44767.4	31/08/2008 12:00:00 AM	851326							0	0
Incident	Technology	Hazardous Chemicals	Fire	Zama City AB	15/08/2008 12:00:00 AM	Zama City AB, August 15, 2008. A block of sulphur accidently caught fire when crewmembers were working to dispose of the leftover sulphur from the Aphache Gas Plant near Zama City.  The fire started in the front-end loader, which the crew was using to remove the sulphur. The fire ignited the sulphur payload emitting deadly hydrogen-sulphide gas. Mackenzie County officials declared a state of emergency and ordered an evacuation of the Zama City area, where approximately 250 residents were temporarily evacuated. Three workers were taken to the hospital as a precaution. The evacuation order was lifted after the fire was contained later that day.	0	3	250	0	0	15/08/2008 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Toronto ON	10/08/2008 12:00:00 AM	Toronto ON, August 10, 2008. A series of explosions at North York’s Sunrise Propane Industrial Gases Plant forced the evacuation of 12,000 people living inside a 1.6 kilometre radius of the area. The explosion produced a huge mushroom-shaped fireball that blew out windows and shook the houses of nearby residents. In total, the explosion destroyed 100 homes. Paramedics treated 40 people on site, six people were taken to the hospital and 18 admitted themselves. The explosion killed one Sunrise employee as well as a 25-year veteran of the Toronto Fire Service who died from heart attacked while fighting the fire.	2	58	12000	0	0	10/08/2008 12:00:00 AM								0	0
Disaster	Natural	Biological	Epidemic	Across Canada	01/08/2008 12:00:00 AM	Across Canada, August 1, 2008. Listeria monocytogenes spread by contaminated Maple Leaf food products produced at its Bartor Road plant. The outbreak occurred in August 2008. A segment of the population that is most vulnerable became exposed. 57 people became seriously ill and 22 people died.	22	57	0	0	0	01/08/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Quebec and New Brunswick	31/07/2008 12:00:00 AM	Quebec and New Brunswick, July 31 to August 4, 2008. Storms and heavy rainfalls pounded the regions of Beauce, Temiscouata and Gaspésie in eastern Quebec and neighboring northwest New Brunswick. A deluge of more than 100 mm of rain caused severe flooding, which washed out dozens of roads in the region. Two individuals were killed when floodwaters swept their vehicle into a lake in the eastern Temiscouata region of Quebec. Over 50 sections roads were washed out, including small bridges as well as two cottages that were destroyed in Quebec by the heavy rain. In New Brunswick, a state of emergency was declared in Glazier Lake where 74 residents had to be air lifted to safety after a flashflood washed out sections of a provincial highway.	2	0	74	1499116	78831.7	04/08/2008 12:00:00 AM	1499116							0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Gander, Hare Bay and Swift Current NL	30/07/2008 12:00:00 AM	Gander, Hare Bay and Swift Current NL, July 30, 2008. A weather system, beginning west of the town of Gander extending east to Hare Bay, and south to Swift Current, caused severe thunderstorms and heavy rain.  This resulted in damage to private property and provincial infrastructure.	0	0	0	644956	33915.3	30/07/2008 12:00:00 AM	644956							0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Regina SK	22/07/2008 12:00:00 AM	Regina SK, July 22, 2008. Wicked weather wreaked havoc across Regina, with wind gusts up to 92 km/h and 11.2 mm of rain. The squall left about 5000 customers (15,000 individuals) in parts of north and east Regina without power.	0	0	0	0	0	22/07/2008 12:00:00 AM								15000	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	La Tuque QC	22/07/2008 12:00:00 AM	La Tuque QC, July 22, 2008. Strong flooding caused by torrential rains forced the evacuation of approximately 112 people and caused considerable damage to a number of homes, two of which needed to be demolished.	0	0	112	0	0	22/07/2008 12:00:00 AM								0	0
Incident	Technology	Explosion	Residential	Toronto ON	20/07/2008 12:00:00 AM	Toronto ON, July 20, 2008. Hundreds of residents of an east-Toronto apartment tower were evacuated after an explosion occurred in the basement of the building. Firefighters were called to respond to smoke coming from an underground hydro vault in the basement of the building when an explosion erupted, sending a shock wave throughout the many floors of the apartment tower. Ten people were injured, including nine firefighters. Approximately 900 people were evacuated from the building. Some nearby homes were also evacuated.	0	10	900	0	0	20/07/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Winnipeg MB	11/07/2008 12:00:00 AM	Winnipeg MB, July 11, 2008. Wind caused havoc across Winnipeg and eastern Manitoba, including one area that may have been hit by a tornado. Up to 5000 homes (15,000 individals) lost power in total.	0	0	0	0	0	11/07/2008 12:00:00 AM								15000	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Deschambault Lake SK	01/07/2008 12:00:00 AM	Deschambault Lake SK, July 1-6, 2008. A large wildfire threatened the community of Deschambault Lake in northern Saskatchewan. The fire was only 1.5 kilometres away from the community before it was redirected by firefighters using a technique called "back burning," which involves igniting a controlled burn in front of the fire in order to reduce the amount of fuel. Approximately 1000 residents were evacuated on July 1 and did not return home until July 6.	0	0	1000	0	0	06/07/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Lethbridge AB	01/07/2008 12:00:00 AM	Lethbridge AB, July 1, 2008. On Canada Day 2008, Lethbridge was hit by an intense storm that brought heavy rain, which caused flash flooding in parts of the city. It rained 47 mm, the monthly average in just about 90 minutes. The heavy rain reached a peak of about 200 mm for at least one hour. The intense rainstorm flooded the basements of over 300 houses, submerged three underpasses and caused road closures, including the closure of one bridge.	0	0	0	0	0	01/07/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Northern Saskatchewan	30/06/2008 12:00:00 AM	Northern Saskatchewan, June 30, 2008. Approximately 2,500 people from the communities of Sandy Bay, Stony Rapids, Pelican Narrows, Black Lake and Uranium City in Saskatchewan's far north have been forced out of their homes due to 64 forest fires.	0	0	2500	0	0	30/06/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Lanaudière QC	29/06/2008 12:00:00 AM	Lanaudière QC, June 29, 2008. A tornado, with winds at times reaching 120 km/h and producing hail the size of golf balls, caused a great deal of property damage. Nearly 15,000 homes (45,000 individuals) were left without power.	0	0	0	0	0	29/06/2008 12:00:00 AM								45000	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Halifax NS	13/06/2008 12:00:00 AM	Halifax NS, June 13, 2008. An unforeseen brush fire ravaged a wooded area east of Halifax. The fire destroyed two homes and forced 5000 residents to evacuate their homes.	0	0	5000	0	0	13/06/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Montérégie and Eastern Townships QC	10/06/2008 12:00:00 AM	Montérégie and Eastern Townships QC, June 10-13, 2008. Thousands of residents south of Montreal had their power knocked out as many regions were hit with wind gusts exceeding 100 km/h. Hydro-Quebec reported that three quarters of the residents in the Montérégie and Eastern Townships, exactly 99,931 homes (approximately 299,793 individuals) lost power on June 10 due to strong winds that damaged power lines. The majority of resident had power restored on June 12, but approximately 25,000 had to wait until June 13.	0	0	0	0	0	13/06/2008 12:00:00 AM								299793	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Pukatawagan MB	10/06/2008 12:00:00 AM	Pukatawagan MB, June 10, 2008. A town in northern Manitoba declared a state of emergency as food and other necessities dwindled away because of a burned-out railway bridge. More than 2,600 people in Pukatawagan, located about 900 kilometres northwest of Winnipeg, were faced with shortages of food and supplies, including baby products because of a wildfire that damaged the local railway bridge connecting the isolated community with the rest of the province. During the summer months there are only two ways to access Pukatawagan, by air or by rail.	0	0	0	0	0	10/06/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Pangnirtung NU	08/06/2008 12:00:00 AM	Pangnirtung NU, June 8-9, 2008. Accelerated snowmelt and heavy rains created a massive flood that prompted the community of Pangnirtung to declare a state of emergency. Floodwaters resulted in the erosion of the permafrost, which supported the bridge abutments on the Duval River. The soil erosion caused sinkholes to form which damaged two bridges. Flooding caused the closure of many roads and disrupted residential water services.	0	0	0	4507509	237029.4	09/06/2008 12:00:00 AM	4507509							0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Huntingdon QC	31/05/2008 12:00:00 AM	Huntingdon QC, May 31, 2008. More than 95 mm of rain fell on the city of Huntingdon, flooding most of its 1,300 homes and raising fears that the Châteauguay River would overflow.	0	0	0	0	0	31/05/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Saint John River NB	30/05/2008 12:00:00 AM	Saint John River NB, April 30, 2008. Flooding along the Saint John River caused as many as 1000 people to evacuate their homes.	0	0	1000	21000000	1104294.5	30/05/2008 12:00:00 AM	21000000							0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Norway House and Sherridon MB	28/05/2008 12:00:00 AM	Norway House and Sherridon MB, May 28, 2008. A forest fire, that stretches from a point to the south of Lynn Lake in the northwest corner of the province south to Norway House Cree Nation and east to the Island Lake First Nations, has forced as many as 3,330 people out of their homes.	0	0	3330	0	0	28/05/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	High River AB	24/05/2008 12:00:00 AM	High River AB, May 24, 2008. Surging water levels on the Highwood River forced the town of High River to declare a state of local emergency.	0	0	0	0	0	24/05/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southwest Alberta	21/05/2008 12:00:00 AM	Southwest Alberta, May 21-25, 2008. A series of rainstorms and the resulting high stream flows significantly impacted municipalities in Southwestern Alberta. The Government of Alberta established a Disaster Recovery Program on July 30, 2008, covering all affected municipalities and residents. The program includes the municipalities of Black Diamond, High River, Okotoks, Clagary, Municipal Districts of Foothills, Kananaskis Improvement District, Pincher Creek, Rocky View, and the Stony First Nation.	0	0	0	7535000	396231.4	25/05/2008 12:00:00 AM	1235000	6300000						0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Newbrook AB	16/05/2008 12:00:00 AM	Newbrook AB, May 16-19, 2008. A wildfire burning near the community of Newbrook forced the evacuation of approximately 150 people. A team of 115 firefighters aided by 40 firefighters from British Columbia, halted the fire from reaching Newbrook by bulldozing a strip of timber in between the town and the fire, which prevented the fire from spreading. The fire reached a maximum size of 1,950 hectares. Two houses were destroyed by the blaze.	0	0	150	0	0	19/05/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South-Central Manitoba	16/05/2008 12:00:00 AM	South-Central Manitoba, May 16-17, 2008. Over the weekend, Manitoba experienced a wind storm producing damaging winds that caused extensive impacts to the public sector drainage system across a wide area of central Manitoba. Affected areas include the rural municipalities of Cartier, Grey, Macdonald, Dufferin, Morris and Montcalm.	0	0	0	314496	16537.9	17/05/2008 12:00:00 AM	314496							0	0
Disaster	Natural	Meteorological - Hydrological	Flood	James Bay ON	09/05/2008 12:00:00 AM	James Bay ON, May 9, 2008. A serious flood risk forced about 1,200 people from their homes along the coast of James Bay.	0	0	1200	0	0	09/05/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Hay River NT	05/05/2008 12:00:00 AM	Hay River NT, May 5-7, 2008. Ice jams in the Hay River forced water to rise over its banks, creating flood conditions for nearby residents. Approximately 600 people from Vale Island, situated at the mouth of Hay River and Great Slave Lake, fled from their homes as a voluntary evacuation order was issued May 5. Many homes and business were flooded and damaged from debris carried by the rising water. At the Katlodeeche First Nation reserve, floodwaters knocked out the old Anglican Church off its foundation as well as flooded the Roman Catholic Church.	0	0	600	460000	24189.3	07/05/2008 12:00:00 AM	460000							0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Quebec City QC	28/04/2008 12:00:00 AM	Quebec City QC, April 28 to May 2, 2008. Heavy rain combined with the spring thaw resulted in flooding and landslides in the Quebec City area. The heavy rain, which started on April 28, lasted until May 2 in some areas. Among the affected communities, Baie-Comeau received up to 120 mm of rain and Sept-Ilse received up to 78 mm of rain. Near Montreal, the Petite Nation River rose one metre, which flooded the surrounding areas. In total, flooding forced the evacuation of 230 people. In addition, landslides caused by the flooding threatened the safety of 60 residents who had to be evacuated as a precaution.	0	0	290	0	0	02/05/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Albany River ON	25/04/2008 12:00:00 AM	Albany River ON, April 25, 2008. More than a dozen aircraft were poised to help evacuate nearly 1,900 residents of Kashechewan and Fort Albany, reserves in the coastal area of James Bay, some 450 kilometres north of Timmins.	0	0	1900	0	0	25/04/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Trent Hills ON	17/04/2008 12:00:00 AM	Trent Hills ON, April 17, 2008. Over a period of 24 hours, water levels in the tri-lakes (Chemong, Buckhorn and Pigeon) increased 120 mm. The municipality of Trent Hills declared a state of emergency.	0	0	0	0	0	17/04/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Belleville ON	14/04/2008 12:00:00 AM	Belleville ON, April 14, 2008. Water from the Moira River flooded dozens of homes and shut down roads in Belleville prompting a state of emergency to be declared. Approximately 50 homes were significantly flooded, including six homes (approximately 18 individuals) that were evacuated. Local wells were tainted with floodwater, which meant that residents could not drink from their wells.	0	0	18	0	0	14/04/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Paddockwood SK	14/04/2008 12:00:00 AM	Paddockwood SK, April 14, 2008. The Rural Municipality of Paddockwood declared a state of emergency after floodwaters rose more than one metre. Floodwaters covered main access roads leaving approximately 400 people stranded in their homes. Two families were forced to leave their homes due to flooding. Water levels receded within a day, but the flooding caused damages to roads and residential homes.	0	0	6	0	0	14/04/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	New Brunswick	21/03/2008 12:00:00 AM	New Brunswick, March 21, 2008. Freezing rain and ice downed trees and power lines in New Brunswick leaving some 6000 residents without electricity.	0	0	0	0	0	21/03/2008 12:00:00 AM								6000	0
Disaster	Natural	Meteorological - Hydrological	Flood	Port Bruce ON	18/02/2008 12:00:00 AM	Port Bruce ON, February 18, 2008. The small community of Port Bruce, located at the mouth of Catfish Creek in Lake Erie east of Port Stanley, was flooded due to an ice jam that caused the creek to overflow. It was the second time in two weeks that Port Bruce experienced flooding from the creek. However, on February 18, the flooding was more severe as water levels rose knee-deep in some areas forcing approximately 100 families (300 individuals) to evacuate their homes and preventing many others from leaving.	0	0	300	0	0	18/02/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Saint John NB	14/02/2008 12:00:00 AM	Saint John NB, February 14, 2008. A boil-water order was imposed following a rain storm that saw nearly 80 mm of rain dumped on the city.	0	0	0	0	0	14/02/2008 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Prince Edward Island	28/01/2008 12:00:00 AM	Prince Edward Island, January 28, 2008. An ice storm that brought snow, freezing rain and heavy rain knocked out power to over 20,000 customers (approximately 60,000 individuals) in Prince Edward Island. Snow followed by heavy rain created layers of ice that downed trees and power lines. Mostly central and western parts of the provinces were affected, with Prince County being hit the hardest by the power outages. The power outages lasted over a week and the province received help from New Brunswick Hydro workers. Heavy rain also caused flooding in parts of Cape Breton.	0	0	0	0	0	28/01/2008 12:00:00 AM								60000	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Quebec	09/01/2008 12:00:00 AM	Quebec, January 9, 2008. A vigorous cold front brought very strong winds that caused power outages in several regions of Quebec. A total of 83,000 Hydro-Quebec customers (249,000 Individuals) across the province were left without electricity.	0	0	0	0	0	09/01/2008 12:00:00 AM								249000	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Matane QC	17/12/2007 12:00:00 AM	Matane QC, December 17, 2007. For the third time in four months, Eastern Quebec was hard hit by bad weather. This time, 275 people were evacuated, mainly from Matane and Saint-René-de-Matane. The city of Matane declared a state of emergency due to gale force winds of up to 100 km/h and artic temperatures.	0	0	275	0	0	17/12/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Prince George BC	10/12/2007 12:00:00 AM	Prince George BC, December 10, 2007. An ice jam in the Nechako River that, at one point, stretched as long as 33 kilometres, caused localized flooding. A state of emergency was declared.	0	0	20	7500000	403587.4	10/12/2007 12:00:00 AM	1600000	5900000						0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Martime Provinces	04/12/2007 12:00:00 AM	Maritime provinces, December 4, 2007. A powerful storm that dumped up to 40 cm of wet, heavy snow on parts of Atlantic Canada knocked out power in all four provinces leaving approximately 50,000 people without electricity.	0	0	0	0	0	04/12/2007 12:00:00 AM								50000	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Vancouver BC	12/11/2007 12:00:00 AM	Southern British Columbia, November 12, 2007. High winds battered southern British Columbia, leaving more than 200,000 people without power as well as stranding thousands of airplane and ferry passengers. Along the coast, winds exceeded 130 km/h. In addition, heavy snow and mudslides caused by high precipitation resulted in road closures. The hardest hit areas were Langley, Surrey, Delta, and Richmond.	0	0	0	0	0	12/11/2007 12:00:00 AM								200000	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	New Brunswick and Nova Scotia	04/11/2007 12:00:00 AM	New Brunswick and Nova Scotia, November 4, 2007. Wind gusts of up to 135 km/h from post-tropical storm Noel lashed the Maritimes, knocking out power to an estimated 190,000 homes and businesses across the region, while pounding surf and heavy rain washed out roads in some coastal areas.	0	0	0	0	0	04/11/2007 12:00:00 AM								190000	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Halifax and Lunenburg NS	03/11/2007 12:00:00 AM	Halifax and Lunenburg NS, November 3, 2007. Storm Noel.  The province was subjected to a severe storm throughout the province, with the heaviest impact in the areas of Halifax and Lunenburg.	0	0	0	2805156.51	150950.1	03/11/2007 12:00:00 AM	812603	1925958.41		48319.81			18275.29	0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Gaspé QC	08/08/2007 12:00:00 AM	Gaspé and Riviere-au-Renard QC, August 8-9, 2007. A severe thunderstorm dumped up to 115 mm of rain on Gaspé and Riviere-au-Renard in less than 10 hours. The heavy rain resulted in significant damages to homes and businesses. In Riviere-au-Renard, 38 homes were damaged and approximately 105 people were evacuated. Nearby in Cortereal, six homes were damaged and approximately 29 people were evacuated. In total, approximately 200 people were evacuated due to flooding that was so severe that some houses were swept away completely. One individual died as a result of the flooding.	1	0	200	14149725	761420.2	09/08/2007 12:00:00 AM	14149725							0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Natuashish NL	04/08/2007 12:00:00 AM	Natuashish NL, August 4-7, 2007. A wildfire destroyed 200 hectares of land and forced the evacuation of 600 local residents. The blaze that burned near the Innu community of Natuashish in Labrador was sparked by accident by a group of teenagers who started a fire to warm themselves up after swimming in the popular swimming hole near the airport. The fire spread so rapidly that the teenagers narrowly escaped with their lives. The fire burned for several days and halted flights to the local airport.	0	0	600	0	0	07/08/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Kootenay BC	01/08/2007 12:00:00 AM	Kootenay BC, August 1, 2007. Forest fires raging in southeastern British Colombia triggered a state of local emergency and caused three homes to be evacuated and power to be cut to more than 3000 homes.	0	0	9	0	0	01/08/2007 12:00:00 AM								3000	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Peninsulas of Avalon, Burin and Bonavista NL	01/08/2007 12:00:00 AM	Avalon, Burin and Bonavista peninsulas NL, August 1, 2007.  Storm Chantal.  A severe rainstorm resulted in damage to private property and provincial and local government infrastructure.	0	0	0	19073933	1026400	01/08/2007 12:00:00 AM	19073933							0	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Newfoundland	01/08/2007 12:00:00 AM	Newfoundland, August 1, 2007. Post-Tropic storm Chantel tracked over through the Maritimes reaching Newfoundland’s Avalon Peninsula on August 1. Chanel dumped up to 200 mm of rain and produced wind gusts of up to 111 km/h in the region. The intense rainfall broke records. St. John’s West and Mount Pearl reported the heaviest one-hour rainfall, which included 43 mm and 49 mm respectively. Ten communities in Newfoundland were isolated due to flooding and declared a state of emergency. Numerous roads and bridges were washed out because of the torrential rain.	0	0	0	0	0	01/08/2007 12:00:00 AM								0	0
Incident	Technology	Fire	Residential	Edmonton AB	21/07/2007 12:00:00 AM	Edmonton AB, July 21, 2007. The community of MacEwan Green had little warning as a fire erupted in the condominium complex. The fire started in a unit of a four-story building that was under construction and destroyed 18 townhouses as well as damaged 76 other homes. Dry weather conditions resulted in the fire spreading to other units within minutes. Fire crews, including 28 emergency vehicles, worked to suppress the three-alarm fire. A 500-pound propane tank was removed from the blaze before it could explode. No one was injured during the fire, but 18 families were displaced.	0	0	282	0	0	21/07/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	South Indian Lake MB	19/07/2007 12:00:00 AM	Northern Manitoba, July 19-26, 2007. A total of 254 wildfires burned 147,473 hectares of land in Manitoba in the summer of 2007. From July 19 to 26, 55 wildfires were burning in Northern Manitoba. During this time, numerous communities were in danger and had to be evacuated from fires that burned up to 16 kilometres away. Evacuations began as early as July 19, when 435 people from O-Pipon-NaPiwin Cree Nation at South Indian Lake had to be airlifted to safety. On July 24, 330 people were airlifted from Sayisi Dene Nation at Tadoule Lake. In addition, on July 25, 48 people from Tataskweyak Cree Nation at Split Lake and 150 from Shamattawa were evacuated due to smoke. All evacuees were taken to Winnipeg and Thompson. The government of Manitoba deployed 450 firefighters, 27 helicopters and nine water bombers. In addition, five firefighting crews from British Columbia assisted local firefighters. The largest fire burned near South Indian Lake and was 85, 000 hectares in size.	0	0	963	0	0	26/07/2007 12:00:00 AM								0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Dartmouth NS	05/07/2007 12:00:00 AM	Dartmouth NS, July 5, 2007. Approximately 1000 people were evacuated from Burnside Industrial Park due to a propane leak. The truck carrying the tank was holding a payload of 13, 000 litres of propane. Firefighters and the municipal HAZMAT team established a exclusion zone 1000 metres around the incident site. The cause of the leak is unknown.	0	0	1000	0	0	05/07/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Elie MB	22/06/2007 12:00:00 AM	Elie MB, June 22, 2007. Tornadoes touched down west of Winnipeg in Eli and near Oakville, ripping apart several homes and flipping over a semi-trailer on the Trans-Canada Highway. Miraculously, no one appears to have been seriously hurt.	0	0	0	0	0	22/06/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Municipalities of Pipestone, Sifton, Cameron, White water, Morton, Riverside, Turtle Mountain, Strathcona and Argyle and the Whiteshell Provincial Park MB	22/06/2007 12:00:00 AM	Municipalities of Pipestone, Sifton, Cameron, White water, Morton, Riverside, Turtle Mountain, Strathcona and Argyle and the Whiteshell Provincial Park MB, June 22 to 24 June, 2007.  Wind storms and tornados caused significant damages.	0	0	0	1183183	63669	22/06/2007 12:00:00 AM	1183183							0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Happy Valley - Goose Bay NL	16/06/2007 12:00:00 AM	Happy Valley-Goose Bay NL, June 16-17, 2007.  A forest fire burned near Happy Valley-Goose Bay forcing the evacuation of 200 homes. The blaze that was pushed towards the community by wind gusts of 50 km/h reached up to 300 metres of some homes. Fire crews helped by two water bombers and six helicopters managed to suppress the flames.	0	0	600	0	0	17/06/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Terrace, Smithers & Mount Currie BC	05/06/2007 12:00:00 AM	Terrace, Smithers & Mount Currie BC, June 5, 2007. About 125 homes have been evacuated and about 1,100 others are on evacuation alert alongside the swollen Skeena and Bulkley rivers near Terrace and Smithers.	0	0	375	9600000	516591.9	05/06/2007 12:00:00 AM	9600000							0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Calgary, Edmonton, St. Albert, the town of Stony Plain, Parkland County, Two Hills County, Kneehill County, Camrose, and the municipal districts of Rocky View and Bighorn AB	05/06/2007 12:00:00 AM	Calgary, Edmonton, St. Albert, the town of Stony Plain, Parkland County, Two Hills County, Kneehill County, Camrose, and the municipal districts of Rocky View and Bighorn AB, June 5, 2007. A severe rainstorm on June 5 affected the cities of Calgary, Edmonton, and St. Albert, the town of Stony Plain, Parkland County, the County of Two Hills, Kneehill County, Camrose, County , and the Municipal Districts of Rocky View and Bighorn.  Many residences and small businesses experienced flooding resulting in loss of contents and structural damage.  Infrastructure damage to municipal roads and storm sewer lines, and provincial parks also occurred.	0	0	0	16396213	882307.4	05/06/2007 12:00:00 AM	7496213	8900000						0	0
Incident	Technology	Fire	Non-Residential	Hamilton ON	03/06/2007 12:00:00 AM	Hamilton ON, June 3, 2007. An industrial fire occurred at a computer facility in Hamilton, involving 5000 square feet of pallets loaded with computer parts, casings and some of the empty plastic barrels located outside the building.	0	0	345	0	0	03/06/2007 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Sept-Îles QC	27/05/2007 12:00:00 AM	Sept-Îles QC, May 27, 2007. A major forest fire forced the evacuation of approximately 1,500 people from the village of Moisie and the Maliothénam reserve. There were 26 forest fires burning in Quebec at that time.	0	0	1500	0	0	27/05/2007 12:00:00 AM								0	0
Incident	Technology	Fire	Non-Residential	Windsor ON	25/05/2007 12:00:00 AM	Windsor ON, May 25, 2007. An explosion at an auto body shop sparked a fire that resulted in the evacuation of 600 homes and businesses including two schools (approximately 2000 individuals). A state of emergency was declared for a two-hour period mainly due to poor air quality. Concerns were raised over hazardous chemicals such as lacquer, paint thinner and gasoline that could have potentially fueled the fire. The auto body shop was completely destroyed while nearby homes and businesses were damaged.	0	0	2000	0	0	25/05/2007 12:00:00 AM								0	0
