",date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade"
"166,20210305,WV,132964,26705.0,,,totalTestsViral,2218488,200.0,,55.0,,28.0,,124502.0,3/4/2021 23:59,2021-03-04T23:59:00Z,03/04 18:59,2318,,,2021-03-04T23:59:00Z,2218488.0,,,106259.0,1971.0,347.0,,,32864.0,,,,,,,,,,54,287,0,132964,10812,132964,,9,0,4f064281b3b404d01fa6b5b8665467c94ef888a0,0,0,0,0,0,"
"167,20210305,WY,54764,8367.0,182264.0,,totalTestsViral,649293,21.0,1391.0,,,,,53550.0,3/5/2021 00:00,2021-03-05T00:00:00Z,03/04 19:00,682,1391.0,,2021-03-05T00:00:00Z,649293.0,38993.0,602513.0,46397.0,,,,228661.0,,,,,,,,,,,56,79,307,237028,3114,237028,,0,2,0bb724dd37746ba6f6cf1a322600bb0cd13b4d98,0,0,0,0,0,"
"168,20210304,AK,56745,,,,totalTestsViral,1724484,32.0,1290.0,,,2.0,,,3/4/2021 03:59,2021-03-04T03:59:00Z,03/03 22:59,303,1290.0,,2021-03-04T03:59:00Z,1724484.0,68549.0,1653763.0,,,,,,,,,,,,,,,,02,140,0,56745,13466,56745,,0,5,bc7a5cc276540e2ec8f649ab256aa42f63777463,0,0,0,0,0,"
"169,20210304,AL,498076,107404.0,1920535.0,,totalTestsPeopleViral,2311207,544.0,45807.0,,2666.0,,1513.0,295690.0,3/4/2021 11:00,2021-03-04T11:00:00Z,03/04 06:00,10094,45807.0,,2021-03-04T11:00:00Z,,,,390672.0,7920.0,2174.0,,2311207.0,,,,118631.0,,,,,,,01,922,4990,2418611,5890,2418611,,65,84,45b26555b46ec5f1a3ffcb116d0be102a0581a08,0,0,0,0,0,"
"170,20210304,AR,323756,68813.0,2464286.0,,totalTestsViral,2719229,397.0,14876.0,165.0,,91.0,1525.0,314207.0,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,5273,14876.0,,2021-03-04T00:00:00Z,2719229.0,,2464286.0,254943.0,4283.0,990.0,,,,,,,,,474331.0,81463.0,,,05,403,8977,2788042,9283,2788042,,12,50,a9cab41a8c2014380e4a91e6d95203151bf10bce,0,0,0,0,0,"
"171,20210304,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,14c013d0a2cb871a7719a7e342ded94e99c5cb05,0,0,0,0,0,"
"172,20210304,AZ,821108,55604.0,3032112.0,,totalTestsViral,7775843,1072.0,57747.0,343.0,,165.0,,,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,16185,57747.0,118087.0,2021-03-04T00:00:00Z,7775843.0,,,765504.0,14264.0,1921.0,,3797616.0,578537.0,,,441041.0,,,,,,,04,1154,9402,3853220,36482,3853220,,96,50,ca7d545ff38d5809c2049ca9efb601d21a1ef17a,0,0,0,0,0,"
"173,20210304,CA,3488467,,,,totalTestsViral,49147685,4967.0,,1327.0,,,,,3/4/2021 02:59,2021-03-04T02:59:00Z,03/03 21:59,53048,,,2021-03-04T02:59:00Z,49147685.0,,,3488467.0,,,,,,,,,,,,,,,06,3504,0,3488467,119637,3488467,,273,0,cc0edfeae13c59b87ec961d01dac49137a894da9,0,0,0,0,0,"
"174,20210304,CO,433021,24067.0,2188741.0,,totalTestEncountersViral,6310233,355.0,23791.0,,,,,,3/4/2021 01:59,2021-03-04T01:59:00Z,03/03 20:59,5974,23791.0,22875.0,2021-03-04T01:59:00Z,,,,408954.0,5238.0,736.0,6310233.0,2597695.0,428261.0,61329.0,364091.0,,,,,,,,08,1351,5603,2621762,36564,2621762,,4,56,3dad7a2f70c8ee10a5032db886738e97f5780c32,0,0,0,0,0,"
"175,20210304,CT,284500,19508.0,,,totalTestsViral,6478498,433.0,,,,,,,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,7693,,,2021-03-03T23:59:00Z,6478498.0,322440.0,6147613.0,264992.0,6320.0,1373.0,,,,,,,,,,,393486.0,22088.0,09,878,0,284500,42863,284500,,15,0,5e2d861f439f6e51d56069fcef9e47ab0f1402c7,0,0,0,0,0,"
"176,20210304,DC,41014,,,,totalTestEncountersViral,1241816,170.0,,49.0,,18.0,,29287.0,3/3/2021 00:00,2021-03-03T00:00:00Z,03/02 19:00,1024,,,2021-03-03T00:00:00Z,,,,,,,1241816.0,438475.0,,,,,,,,,,,11,196,0,41014,7833,41014,,1,0,decc668bf34f94ef9e4b9c90615c8cd404ee0037,0,0,0,0,0,"
"177,20210304,DE,87643,4672.0,541771.0,,totalTestEncountersViral,1413640,130.0,,18.0,,,,,3/3/2021 18:00,2021-03-03T18:00:00Z,03/03 13:00,1444,,,2021-03-03T18:00:00Z,,91186.0,,82971.0,1308.0,136.0,1413640.0,629414.0,,,,,,,,,,,10,218,807,629414,3724,629414,,4,0,bfd86c8bc01aad3ed98a58914737f44bc92b594f,0,0,0,0,0,"
"178,20210304,FL,1894722,356583.0,9269680.0,8435.0,totalTestEncountersViral,22079838,3566.0,81600.0,,,,,,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,31955,81600.0,,2021-03-03T23:59:00Z,19293295.0,2482227.0,16719252.0,1538139.0,,,22079838.0,11164402.0,1024780.0,176911.0,847365.0,970437.0,166506.0,803582.0,,,,,12,5997,26450,11172837,104245,11164402,,126,322,e7940b71727e878efa5c199e23a70246b38f0185,0,0,0,0,0,"
"179,20210304,GA,1017428,192624.0,,,totalTestsViral,7279616,2191.0,56512.0,,9221.0,,,,3/4/2021 14:50,2021-03-04T14:50:00Z,03/04 09:50,17750,56512.0,,2021-03-04T14:50:00Z,7279616.0,799666.0,,824804.0,15462.0,2288.0,,,479300.0,76680.0,,,,,,,1451169.0,166192.0,13,2886,0,1017428,28189,1017428,,125,143,540716f9af90837cda5afc6c9868fa780e7de3f5,0,0,0,0,0,"
"180,20210304,GU,7747,209.0,112349.0,,posNeg,120096,5.0,,1.0,,1.0,,7590.0,3/4/2021 04:00,2021-03-04T04:00:00Z,03/03 23:00,131,,,2021-03-04T04:00:00Z,119887.0,,,7538.0,,,,,357.0,24.0,,,,,,,9262.0,248.0,66,2,424,120096,426,120096,,0,0,ba6670d27b205a453db70ed72732636f857d0a82,0,0,0,0,0,"
"181,20210304,HI,28466,767.0,,,totalTestEncountersViral,1131093,28.0,2225.0,5.0,,3.0,,,3/2/2021 14:30,2021-03-02T14:30:00Z,03/02 09:30,441,2225.0,,2021-03-02T14:30:00Z,,27595.0,,27699.0,441.0,,1131093.0,,,,,,,,,,,,15,59,0,28466,6227,28466,,0,-1,57c1bf756805543044d26df1250930bed11430fb,0,0,0,0,0,"
"182,20210304,IA,281391,,1040055.0,,posNeg,1321446,184.0,,39.0,,11.0,,318560.0,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,5536,,,2021-03-04T00:00:00Z,2734777.0,305285.0,2414548.0,281391.0,,,,1323845.0,,,,113067.0,19240.0,93776.0,245588.0,56878.0,1372820.0,60354.0,19,400,2052,1321446,2452,1321446,,35,0,4b267af6e507dc39c2d8d481c89f4dbaa4e31ce6,0,0,0,0,0,"
"183,20210304,ID,172288,32621.0,503691.0,,totalTestsPeopleViral,643358,139.0,7144.0,32.0,1241.0,,,95222.0,3/3/2021 19:25,2021-03-03T19:25:00Z,03/03 14:25,1876,7144.0,,2021-03-03T19:25:00Z,1096824.0,,,139667.0,1649.0,227.0,,643358.0,,,,,,,,,123809.0,,16,452,1096,675979,1441,675979,,5,13,e2f9a0ba7e0b3a0a2fa7bd369970320bad2a47a9,0,0,0,0,0,"
"184,20210304,IL,1193260,,,,totalTestsViral,18389512,1200.0,,260.0,,128.0,,,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,22902,,,2021-03-04T00:00:00Z,18389512.0,,,,20668.0,2234.0,,,,,,,,,,,,,17,1740,0,1193260,73990,1193260,,49,0,130b15603bf8fe2b5288e67152f01b8823268754,0,0,0,0,0,"
"185,20210304,IN,664446,,2468877.0,,totalTestsViral,8133596,692.0,43044.0,131.0,7567.0,63.0,,,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,12663,43044.0,433563.0,2021-03-03T23:59:00Z,8133596.0,757099.0,,,12231.0,432.0,,3133323.0,,,,,,,,,,,18,935,4795,3133323,40539,3133323,,30,89,9934dc9cbf112134e734697aae92b80487198101,0,0,0,0,0,"
"186,20210304,KS,295109,,969651.0,,posNeg,1264760,203.0,9355.0,59.0,2541.0,23.0,411.0,,3/3/2021 10:00,2021-03-03T10:00:00Z,03/03 05:00,4816,9355.0,6431.0,2021-03-03T10:00:00Z,2504238.0,,,,,,,1264760.0,,,,,,,,,594470.0,,20,0,0,1264760,0,1264760,,0,0,c2d318368625fb1a7c4f5ac56262441f47473ce0,0,0,0,0,0,"
"187,20210304,KY,408440,95510.0,,,totalTestsViral,3954639,645.0,19364.0,172.0,4020.0,91.0,,47992.0,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,4732,19364.0,,2021-03-04T00:00:00Z,3954639.0,251183.0,,312930.0,4292.0,440.0,,,111691.0,9815.0,,,,,,,501372.0,37408.0,21,1067,0,408440,14273,408440,,28,60,a77d9dfcb7c88e8b9111abba9bf70fc2b9f3726a,0,0,0,0,0,"
"188,20210304,LA,432527,60897.0,5222458.0,,posNeg,5654985,554.0,,,,74.0,,415954.0,3/4/2021 13:00,2021-03-04T13:00:00Z,03/04 08:00,9686,,,2021-03-04T13:00:00Z,5594088.0,,,371630.0,8986.0,700.0,,,,,,,,,,,463554.0,,22,756,24034,5654985,24790,5654985,,18,0,0c4e9c36e4da7d02481a6511a864a9b99db1b35d,0,0,0,0,0,"
"189,20210304,MA,586310,31680.0,4380031.0,,totalTestsViral,16522351,741.0,19713.0,168.0,,100.0,,508745.0,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,16296,19713.0,,2021-03-03T23:59:00Z,16522351.0,662972.0,,554630.0,15967.0,329.0,,4934661.0,,,,156185.0,15425.0,,571445.0,,,,25,1567,8554,4966341,102362,4966341,,44,0,eea7b95f93eb0ad19385b64e06ffd8542ca12260,0,0,0,0,0,"
"190,20210304,MD,384765,,3018120.0,,totalTestsViral,7982350,856.0,35304.0,216.0,,,,9691.0,3/4/2021 10:00,2021-03-04T10:00:00Z,03/04 05:00,7922,35304.0,,2021-03-04T10:00:00Z,7982350.0,469489.0,,384765.0,7740.0,182.0,,3402885.0,,,,198139.0,28360.0,169779.0,,,,,24,809,5941,3402885,33723,3402885,,3,81,8cffb6b54a5438e9ecf97a0db058e225cd5d803e,0,0,0,0,0,"
"191,20210304,ME,45227,9720.0,,,totalTestsViral,1633308,69.0,1549.0,23.0,,8.0,,12827.0,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,705,1549.0,,2021-03-03T23:59:00Z,1633308.0,41114.0,,35507.0,682.0,23.0,,,15074.0,861.0,14201.0,,,,,,208014.0,10511.0,23,136,0,45227,11093,45227,,0,4,ab49fe94bf5192cb469b42a76b05a11c14aaf21b,0,0,0,0,0,"
"192,20210304,MI,652589,59310.0,,,totalTestsViral,10538623,890.0,,229.0,,102.0,,541258.0,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,16589,,,2021-03-04T00:00:00Z,10538623.0,749121.0,9789502.0,593279.0,15600.0,989.0,,,532658.0,,,,,,,,,,26,1827,0,652589,46486,652589,,39,0,9f18ef528e252320fbe5b6196fc94fdf4dfecdd4,0,0,0,0,0,"
"193,20210304,MN,487374,24073.0,3035998.0,,totalTestEncountersViral,7023826,229.0,25896.0,59.0,5344.0,,,473728.0,3/3/2021 17:00,2021-03-03T17:00:00Z,03/03 12:00,6521,25896.0,,2021-03-03T17:00:00Z,,,,463301.0,6248.0,273.0,7023826.0,3499299.0,,,,,,,,,441373.0,,27,940,14444,3523372,62827,3523372,,14,33,e2b787aafd11f8250cb9e4966a6e492c00fc7c7a,0,0,0,0,0,"
"194,20210304,MO,479536,,1868601.0,,totalTestsViral,4524474,999.0,,213.0,,136.0,,,3/4/2021 00:59,2021-03-04T00:59:00Z,03/03 19:59,8150,,,2021-03-04T00:59:00Z,4524474.0,529491.0,3985463.0,479536.0,,,,2348137.0,150900.0,24488.0,126213.0,134839.0,,,359455.0,,878145.0,82909.0,29,467,3588,2348137,16298,2348137,,2,0,7a4e53e613265cde0f2a6aa89eeb389430af80bb,0,0,0,0,0,"
"195,20210304,MP,144,,17429.0,,posNeg,17573,,4.0,,,,,29.0,3/3/2021 00:00,2021-03-03T00:00:00Z,03/02 19:00,2,4.0,,2021-03-03T00:00:00Z,26131.0,,,144.0,2.0,,,17542.0,,,,,,,,,,,69,0,0,17573,0,17573,,0,0,9d749a95bffcf4e26bfa634ea7f83efdc512f98f,0,0,0,0,0,"
"196,20210304,MS,296154,112568.0,1459374.0,,posNeg,1755528,448.0,9162.0,101.0,,62.0,,278162.0,3/3/2021 00:00,2021-03-03T00:00:00Z,03/02 19:00,6764,9162.0,,2021-03-03T00:00:00Z,1642348.0,,,183586.0,4717.0,2047.0,,,81986.0,,,,,,,,748339.0,,28,479,0,1755528,479,1755528,,21,0,ee6944b06b4e5ff41df06cba679963bee792c6f0,0,0,0,0,0,"
"197,20210304,MT,100531,5118.0,,,totalTestsViral,1091522,73.0,4608.0,14.0,,7.0,,97499.0,3/4/2021 01:59,2021-03-04T01:59:00Z,03/03 20:59,1375,4608.0,,2021-03-04T01:59:00Z,1091522.0,,,95413.0,,,,,,,,,,,,,,,30,180,0,100531,4974,100531,,2,8,bf2b418e0dcb86bc90711d0cf713a842c3b9ca52,0,0,0,0,0,"
"198,20210304,NC,868056,111547.0,,,totalTestsViral,9605697,1290.0,,326.0,,,,,3/4/2021 14:25,2021-03-04T14:25:00Z,03/04 09:25,11399,,819839.0,2021-03-04T14:25:00Z,9605697.0,,,756509.0,10083.0,1316.0,,,,,,,,,,,790416.0,,37,2502,0,868056,44050,868056,,36,0,b0e0b0510f722eb05aa86e35d1a4b736d9b2f80b,0,0,0,0,0,"
"199,20210304,ND,100184,5377.0,305598.0,,totalTestEncountersViral,1419620,22.0,3875.0,3.0,567.0,,,98071.0,3/4/2021 01:59,2021-03-04T01:59:00Z,03/03 20:59,1478,3875.0,,2021-03-04T01:59:00Z,1528837.0,,,94807.0,,,1419620.0,405782.0,,,,,,,,,152080.0,,38,117,94,405782,3575,405782,,0,4,da6c3707997928591a8e629dc467ea46e9c0bdf4,0,0,0,0,0,"
"200,20210304,NE,201973,,768130.0,,totalTestsViral,2403686,151.0,6157.0,,,,,156048.0,3/4/2021 10:30,2021-03-04T10:30:00Z,03/04 05:30,2092,6157.0,,2021-03-04T10:30:00Z,2403686.0,234838.0,2166160.0,,,,,970639.0,,,,,,,,,,,31,365,1349,970103,11285,970103,,1,10,75d8398bb8c4ad0ae14862e45488e96d83a409ff,0,0,0,0,0,"
"201,20210304,NH,76178,22597.0,577245.0,,totalTestsViral,1474441,92.0,1127.0,,348.0,,,72809.0,3/4/2021 09:00,2021-03-04T09:00:00Z,03/04 04:00,1178,1127.0,,2021-03-04T09:00:00Z,1474441.0,,,53581.0,,,,630826.0,39421.0,,,37805.0,,,,,198915.0,,33,188,1620,653423,7052,653423,,3,4,5724d2082155feb1729b1c7d9bcf5c87c4e23d19,0,0,0,0,0,"
"202,20210304,NJ,802669,90084.0,10096351.0,,posNeg,10899020,1900.0,64137.0,376.0,,214.0,,,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,23491,64137.0,76430.0,2021-03-04T00:00:00Z,10806397.0,,,712585.0,21094.0,2397.0,,,,,,,,,,,,,34,3193,0,10899020,3193,10899020,,42,87,38b5e8c469c0c3c8b903ae10134ae6652621d18f,0,0,0,0,0,"
"203,20210304,NM,186156,,,,totalTestsViral,2738734,177.0,13215.0,,,,,151708.0,3/4/2021 18:08,2021-03-04T18:08:00Z,03/04 13:08,3769,13215.0,,2021-03-04T18:08:00Z,2738734.0,,,,,,,,,,,,,,,,,,35,258,0,186156,18352,186156,,16,25,55f693ea64ef597feb5bd16e849f208fff093d94,0,0,0,0,0,"
"204,20210304,NV,295069,,1125254.0,,totalTestEncountersViral,2746308,407.0,,97.0,,47.0,,,3/3/2021 00:00,2021-03-03T00:00:00Z,03/02 19:00,5005,,,2021-03-03T00:00:00Z,,,,295069.0,,,2746308.0,1420323.0,,,,,,,,,,,32,385,2431,1420323,8243,1420323,,18,0,918b486f25a2518100ee941944be6f275a96f1a7,0,0,0,0,0,"
"205,20210304,NY,1657777,,,,totalTestEncountersViral,38897265,5177.0,,1043.0,,712.0,,,3/3/2021 14:00,2021-03-03T14:00:00Z,03/03 09:00,38796,,148355.0,2021-03-03T14:00:00Z,,,,,,,38897265.0,,,,,,,,,,,,36,7593,0,1657777,270089,1657777,,61,0,39d0cec8753202639bdd32abdd228cc6c891d862,0,0,0,0,0,"
"206,20210304,OH,974480,140708.0,,,totalTestsViral,10144547,1009.0,50695.0,270.0,7181.0,196.0,,919296.0,3/4/2021 14:00,2021-03-04T14:00:00Z,03/04 09:00,17189,50695.0,,2021-03-04T14:00:00Z,10144547.0,861702.0,,833772.0,14752.0,2594.0,,,,,,,,,,,1751798.0,85756.0,39,1875,0,974480,43325,974480,,0,82,1f1ed4eba1447fbe405b733767d3af88366886c9,0,0,0,0,0,"
"207,20210304,OK,426641,,3126761.0,3620.0,posNeg,3553402,404.0,24103.0,118.0,,,,409728.0,,,,4534,24103.0,,,3527683.0,388328.0,3126761.0,,,,,,148204.0,21760.0,,,,,,,,,40,895,10458,3557022,11353,3553402,,0,39,9f166417bd713ef15a020f737a6cf32ae60221bb,0,0,0,0,0,"
"208,20210304,OR,156287,,,,totalTestsViral,3787438,165.0,8682.0,37.0,,12.0,,,3/3/2021 03:01,2021-03-03T03:01:00Z,03/02 22:01,2252,8682.0,,2021-03-03T03:01:00Z,3787438.0,225298.0,3562140.0,,,,,,,,,,,,,,,,41,250,0,156287,27038,156287,,27,29,54a6808fd88b1976fae575039126559e355b0db2,0,0,0,0,0,"
"209,20210304,PA,941439,132651.0,3915271.0,,totalTestEncountersViral,10569767,1628.0,,350.0,,177.0,,856709.0,3/4/2021 12:00,2021-03-04T12:00:00Z,03/04 07:00,24219,,,2021-03-04T12:00:00Z,,,,808788.0,,,10569767.0,4724059.0,,,,,,,,,,,42,3028,8736,4856710,55306,4856710,,50,0,9d2cb2c90dbfb3307083aa3d6ded2f8d932a0742,0,0,0,0,0,"
"210,20210304,PR,100867,7928.0,305972.0,,posNeg,406839,171.0,,23.0,,19.0,,91530.0,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,2053,,,2021-03-04T00:00:00Z,415664.0,20103.0,395291.0,92939.0,1745.0,308.0,,,,82809.0,,,,,,,,,72,102,0,406839,102,406839,,5,0,dceaed58396f0099488e692310ba63b22e3f3bd5,0,0,0,0,0,"
"211,20210304,RI,127727,,673128.0,,totalTestEncountersViral,3065112,148.0,9002.0,23.0,,16.0,,,3/4/2021 13:00,2021-03-04T13:00:00Z,03/04 08:00,2539,9002.0,7842.0,2021-03-04T13:00:00Z,,152103.0,2913009.0,,,,3065112.0,800855.0,,,,,,,,,,,44,442,1586,800855,23431,800855,,5,20,9dcc40e6841242b569873d367bf66c24a258fb86,0,0,0,0,0,"
"212,20210304,SC,521563,74478.0,4578250.0,,posNeg,5099813,734.0,20542.0,180.0,,91.0,,230793.0,3/2/2021 23:59,2021-03-02T23:59:00Z,03/02 18:59,8660,20542.0,,2021-03-02T23:59:00Z,5025335.0,576515.0,4448820.0,447085.0,7660.0,1000.0,,,133816.0,27765.0,106051.0,,,,,,885397.0,109525.0,45,1567,20102,5099813,21669,5099813,,40,41,3cc19923f2b065771162cb11498e2e0fb26b8c0d,0,0,0,0,0,"
"213,20210304,SD,113065,12781.0,312421.0,,totalTestsViral,696656,87.0,6664.0,17.0,,10.0,,109113.0,3/3/2021 14:00,2021-03-03T14:00:00Z,03/03 09:00,1896,6664.0,,2021-03-03T14:00:00Z,696656.0,105443.0,,100284.0,,,,425486.0,,,,,,,,,,,46,232,909,425486,1773,425486,,3,10,ac3338b68627cfe2eddce70d798515c61b488a31,0,0,0,0,0,"
"214,20210304,TN,779449,127366.0,,,totalTestsViral,6834882,970.0,18779.0,258.0,,127.0,,754465.0,3/4/2021 15:00,2021-03-04T15:00:00Z,03/04 10:00,11501,18779.0,,2021-03-04T15:00:00Z,6834882.0,751634.0,6083248.0,652083.0,9248.0,2253.0,,,,,,,,,,,1408619.0,139528.0,47,1514,0,779449,17761,779449,,42,37,52a5d62de426c1d7ed1357b7865c29ba382b337b,0,0,0,0,0,"
"215,20210304,TX,2671442,362318.0,,,totalTestsViral,19764177,5263.0,,1599.0,,,,2458818.0,3/4/2021 14:55,2021-03-04T14:55:00Z,03/04 09:55,43878,,,2021-03-04T14:55:00Z,19764177.0,2618057.0,,2309124.0,,,,,1022798.0,155146.0,,,,,,,2606279.0,208427.0,48,8028,0,2671442,56522,2671442,,315,0,8e71c02df035870db42a3cd7a8dd62d52209ce81,0,0,0,0,0,"
"216,20210304,UT,372708,,1549760.0,,totalTestsViral,2886369,247.0,14783.0,92.0,2331.0,,818.0,355033.0,3/3/2021 09:08,2021-03-03T09:08:00Z,03/03 04:08,1955,14783.0,,2021-03-03T09:08:00Z,2886369.0,344845.0,2541524.0,,,,,1865313.0,,,,,,,364728.0,57124.0,981583.0,59586.0,49,0,4202,1922468,10193,1922468,,0,0,5360af74c652fda7029b4b3362fe1b5e17f21631,0,0,0,0,0,"
"217,20210304,VA,581408,124060.0,,218.0,totalTestEncountersViral,5972272,1352.0,24414.0,284.0,,184.0,,,3/3/2021 17:00,2021-03-03T17:00:00Z,03/03 12:00,9357,24414.0,47259.0,2021-03-03T17:00:00Z,,558837.0,,457348.0,8018.0,1339.0,5972272.0,,222742.0,28396.0,,,,,,,1421319.0,123686.0,51,1300,0,581626,25300,581408,,31,60,e0f2758779dcd7be03e542d777112423f31b9d2f,0,0,0,0,0,"
"218,20210304,VI,2704,,46007.0,113.0,posNeg,48711,,,,,,,2547.0,3/4/2021 08:58,2021-03-04T08:58:00Z,03/04 03:58,25,,,2021-03-04T08:58:00Z,,,,,25.0,,,48824.0,,,,,,,,,,,78,9,166,48824,175,48711,,0,0,a12db4148b039b019b1b9100b2272ec8275ee1e2,0,0,0,0,0,"
"219,20210304,VT,15686,441.0,318086.0,,totalTestsViral,1094855,27.0,,5.0,,,,12990.0,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,207,,,2021-03-03T23:59:00Z,1094855.0,,,15245.0,,,,333331.0,,,,,,,,,,,50,199,722,333772,11657,333772,,0,0,2dc45f3270db2dd603aa1520b5995997a8b64200,0,0,0,0,0,"
"220,20210304,WA,342236,19113.0,,,totalTestEncountersViral,5320381,461.0,19466.0,121.0,,61.0,,,3/3/2021 02:59,2021-03-03T02:59:00Z,03/02 21:59,5012,19466.0,,2021-03-03T02:59:00Z,,323057.0,4996968.0,323123.0,,,5320381.0,,,,,,,,,,,,53,795,0,342236,18873,342236,,24,33,406adfbf28c14b781aa58d405e33340f17ed3235,0,0,0,0,0,"
"221,20210304,WI,619942,54134.0,2639148.0,19.0,totalTestEncountersViral,7008539,262.0,26330.0,67.0,2266.0,,,551885.0,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,7082,26330.0,,2021-03-04T00:00:00Z,,,,565808.0,6470.0,612.0,7008539.0,3204956.0,,,,,,,,,,,55,855,4149,3259109,37986,3259090,,13,51,113b3d81b402d0025b4eac17dbafb840c83b974c,0,0,0,0,0,"
"222,20210304,WV,132677,26637.0,,,totalTestsViral,2207676,193.0,,57.0,,22.0,,124050.0,3/3/2021 23:59,2021-03-03T23:59:00Z,03/03 18:59,2309,,,2021-03-03T23:59:00Z,2207676.0,,,106040.0,1962.0,347.0,,,32758.0,,,,,,,,,,54,261,0,132677,9422,132677,,0,0,2c69f996b6284bc0d75418ca2b477ae7d185dd01,0,0,0,0,0,"
"223,20210304,WY,54685,8357.0,181957.0,,totalTestsViral,646179,23.0,1389.0,,,,,53481.0,3/4/2021 00:00,2021-03-04T00:00:00Z,03/03 19:00,682,1389.0,,2021-03-04T00:00:00Z,646179.0,38946.0,599452.0,46328.0,,,,228285.0,,,,,,,,,,,56,69,276,236642,2703,236642,,0,1,bafad46ba8420fbbba342b4739be877ac62c0050,0,0,0,0,0,"
"224,20210303,AK,56605,,,,totalTestsViral,1711018,26.0,1285.0,,,2.0,,,3/3/2021 03:59,2021-03-03T03:59:00Z,03/02 22:59,303,1285.0,,2021-03-03T03:59:00Z,1711018.0,68343.0,1640525.0,,,,,,,,,,,,,,,,02,177,0,56605,6358,56605,,1,-1,06e88c66f6d974e25a99aebd3d4be26ac862a54b,0,0,0,0,0,"
"225,20210303,AL,497154,107382.0,1915545.0,,totalTestsPeopleViral,2305317,559.0,45723.0,,2662.0,,1510.0,295690.0,3/3/2021 11:00,2021-03-03T11:00:00Z,03/03 06:00,10029,45723.0,,2021-03-03T11:00:00Z,,,,389772.0,7872.0,2157.0,,2305317.0,,,,118154.0,,,,,,,01,2733,7243,2412699,9595,2412699,,38,24,8f55732c81965a1c1dc1b4ef9f6645acfcdba89d,0,0,0,0,0,"
"226,20210303,AR,323353,68716.0,2455309.0,,totalTestsViral,2709946,397.0,14826.0,165.0,,91.0,1521.0,313799.0,3/3/2021 00:00,2021-03-03T00:00:00Z,03/02 19:00,5261,14826.0,,2021-03-03T00:00:00Z,2709946.0,,2455309.0,254637.0,4272.0,989.0,,,,,,,,,469256.0,81353.0,,,05,404,7267,2778662,7551,2778662,,7,31,e297cee71343869e59cab919378d3bc788b963a5,0,0,0,0,0,"
"227,20210303,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,44f8431e719f9c45e2eb4a8e90517653d1aa73b2,0,0,0,0,0,"
"228,20210303,AZ,819954,55423.0,3022710.0,,totalTestsViral,7739361,1165.0,57697.0,381.0,,177.0,,,3/3/2021 00:00,2021-03-03T00:00:00Z,03/02 19:00,16089,57697.0,117776.0,2021-03-03T00:00:00Z,7739361.0,,,764531.0,14176.0,1913.0,,3787241.0,577188.0,,,440209.0,,,,,,,04,1284,15039,3842664,37881,3842664,,29,106,943392b32fb02193c12424298570c685262bb8d1,0,0,0,0,0,"
