Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,z_is_good,cut_nb,clarity_nb,color_nb
2260,0.9,Good,D,SI2,63.9,60.0,3153,6.07,6.11,3.89,True,1,1,6
2261,0.8,Ideal,H,VS2,60.6,56.0,3153,6.03,6.08,3.67,True,4,3,2
2262,0.71,Ideal,D,VS2,62.0,57.0,3153,5.69,5.73,3.54,True,4,3,6
2263,0.92,Good,E,SI2,62.0,64.0,3153,6.2,6.16,3.83,True,1,1,5
2264,0.7,Very Good,E,VVS2,59.2,61.0,3154,5.79,5.84,3.44,True,2,5,5
2265,0.7,Very Good,E,VS1,62.2,55.0,3154,5.65,5.67,3.52,True,2,4,5
2266,0.7,Very Good,E,VS1,63.6,57.0,3154,5.61,5.65,3.58,True,2,4,5
2267,0.95,Very Good,J,SI1,63.4,55.0,3154,6.25,6.21,3.95,True,2,2,0
2268,0.58,Ideal,D,VVS1,61.6,60.0,3154,5.34,5.35,3.29,True,4,6,6
2269,0.73,Ideal,G,VS2,61.7,56.0,3154,5.79,5.81,3.58,True,4,3,3
2270,0.77,Ideal,G,VS2,61.7,55.0,3154,5.87,5.9,3.63,True,4,3,3
2271,0.7,Ideal,F,VS1,61.2,58.0,3154,5.7,5.73,3.5,True,4,4,4
2272,0.7,Ideal,F,VS1,61.7,55.0,3154,5.72,5.76,3.54,True,4,4,4
2273,0.95,Fair,J,SI1,58.0,66.0,3154,6.5,6.46,3.76,True,0,2,0
2274,0.8,Ideal,D,SI2,61.9,54.0,3154,6.0,5.95,3.7,True,4,1,6
2275,1.22,Premium,J,SI2,62.6,59.0,3156,6.79,4.24,3.76,False,3,1,0
2276,0.64,Ideal,E,VVS2,62.1,53.0,3157,5.51,5.54,3.43,True,4,5,5
2277,1.06,Premium,F,I1,60.3,58.0,3158,6.59,6.56,3.96,True,3,0,4
2278,0.77,Ideal,D,SI1,62.3,56.0,3158,5.84,5.87,3.65,True,4,2,6
2279,0.8,Very Good,G,VS1,59.5,63.0,3158,6.11,6.05,3.61,True,2,4,3
2280,0.82,Premium,D,SI2,61.7,56.0,3159,6.01,5.99,3.7,True,3,1,6
2281,0.78,Ideal,E,VS2,62.1,54.0,3159,5.92,5.94,3.68,True,4,3,5
2282,0.7,Ideal,F,VVS2,62.0,57.0,3160,5.68,5.74,3.54,True,4,5,4
2283,0.9,Very Good,H,SI2,62.8,57.0,3160,6.15,6.2,3.88,True,2,1,2
2284,0.77,Very Good,D,SI1,58.6,59.0,3160,6.0,6.04,3.53,True,2,2,6
2285,0.9,Good,H,SI2,63.4,60.0,3160,6.03,6.08,3.84,True,1,1,2
2286,0.9,Very Good,H,SI2,62.9,57.0,3160,6.09,6.16,3.85,True,2,1,2
2287,0.9,Good,H,SI2,62.4,61.0,3160,6.03,6.11,3.79,True,1,1,2
2288,0.9,Very Good,H,SI2,59.5,63.0,3160,6.26,6.31,3.74,True,2,1,2
2289,0.9,Ideal,J,VS2,61.3,57.0,3160,6.16,6.24,3.8,True,4,3,0
2290,0.9,Very Good,H,SI2,61.1,63.0,3160,6.12,6.19,3.76,True,2,1,2
2291,0.9,Very Good,H,SI2,59.2,61.0,3160,6.23,6.27,3.7,True,2,1,2
2292,0.81,Ideal,D,SI2,61.9,54.0,3160,5.96,5.99,3.7,True,4,1,6
2293,0.9,Fair,F,SI1,66.0,57.0,3160,6.06,6.0,3.98,True,0,2,4
2294,0.63,Ideal,E,VVS1,62.4,56.0,3161,5.48,5.52,3.43,True,4,6,5
2295,0.71,Premium,D,VS2,62.4,59.0,3161,5.73,5.68,3.56,True,3,3,6
2296,0.71,Ideal,D,VS2,62.5,55.0,3161,5.74,5.71,3.58,True,4,3,6
2297,0.71,Premium,D,VS2,59.2,59.0,3161,5.86,5.8,3.45,True,3,3,6
2298,0.76,Very Good,E,VS2,63.0,59.0,3162,5.76,5.79,3.64,True,2,3,5
2299,0.9,Good,I,VS2,62.4,65.0,3162,6.09,6.12,3.81,True,1,3,1
2300,0.9,Good,G,SI2,63.3,59.0,3162,6.07,6.12,3.86,True,1,1,3
2301,0.9,Very Good,H,SI2,63.0,55.0,3162,6.1,6.16,3.86,True,2,1,2
2302,0.7,Ideal,F,VS1,61.0,58.0,3162,5.74,5.76,3.51,True,4,4,4
2303,0.74,Good,E,VS2,63.9,54.0,3163,5.77,5.81,3.7,True,1,3,5
2304,0.74,Good,E,VS2,63.5,56.0,3163,5.75,5.8,3.67,True,1,3,5
2305,0.78,Good,F,VS1,64.0,54.0,3163,5.86,5.82,3.74,True,1,4,4
2306,0.79,Ideal,F,SI1,61.3,56.0,3163,5.96,6.01,3.67,True,4,2,4
2307,0.73,Ideal,H,VS2,61.4,55.0,3164,5.79,5.82,3.56,True,4,3,2
2308,0.73,Ideal,H,VS2,61.0,56.0,3164,5.83,5.88,3.57,True,4,3,2
2309,1.0,Fair,H,SI2,63.7,54.0,3164,6.42,6.27,4.06,True,0,1,2
2310,0.7,Ideal,G,VVS1,62.8,57.0,3165,5.63,5.68,3.55,True,4,6,3
2311,0.92,Premium,H,SI1,60.7,59.0,3165,6.34,6.25,3.82,True,3,2,2
2312,0.77,Very Good,D,SI1,60.3,58.0,3166,5.89,5.96,3.57,True,2,2,6
2313,0.73,Good,F,VVS2,58.2,63.0,3166,5.87,6.01,3.46,True,1,5,4
2314,0.87,Fair,I,VS2,57.3,59.0,3166,6.29,6.44,3.65,True,0,3,1
2315,1.01,Premium,H,I1,58.1,59.0,3167,6.66,6.6,,False,3,0,2
2316,0.71,Ideal,G,VVS1,62.1,56.0,3167,5.72,5.84,3.59,True,4,6,3
2317,0.72,Ideal,H,VS1,61.8,55.0,3167,5.78,5.81,3.58,True,4,4,2
2318,0.7,Ideal,E,VS1,62.6,55.0,3167,5.66,5.69,3.55,True,4,4,5
2319,0.79,Ideal,H,SI1,61.4,56.0,3167,5.93,5.96,3.65,True,4,2,2
2320,0.85,Ideal,E,SI1,61.8,54.0,3167,6.1,6.14,3.78,True,4,2,5
2321,0.7,Ideal,H,IF,62.2,55.0,3167,5.68,5.71,3.54,True,4,7,2
2322,0.72,Premium,F,VS1,62.2,57.0,3167,5.74,5.67,3.55,True,3,4,4
2323,1.01,Fair,H,SI2,64.5,54.0,3167,6.26,6.15,4.0,True,0,1,2
2324,1.01,Very Good,H,I1,63.2,58.0,3167,6.39,6.33,4.02,True,2,0,2
2325,1.08,Ideal,F,I1,61.8,56.0,3168,6.64,6.62,4.1,True,4,0,4
2326,1.23,Ideal,H,I1,61.6,55.0,3168,6.92,6.87,4.25,True,4,0,2
2327,0.91,Very Good,J,SI2,62.4,61.0,3169,6.13,6.2,3.85,True,2,1,0
2328,0.79,Ideal,F,SI1,61.2,56.0,3169,5.96,6.01,3.66,True,4,2,4
2329,0.77,Ideal,F,SI1,61.4,55.0,3169,5.93,5.95,3.65,True,4,2,4
2330,0.76,Very Good,G,VS2,61.1,57.0,3170,5.84,5.95,3.6,True,2,3,3
2331,0.92,Very Good,J,SI1,62.6,58.0,3170,6.18,6.22,3.88,True,2,2,0
2332,0.92,Ideal,J,SI1,62.3,56.0,3170,6.24,6.29,3.9,True,4,2,0
2333,0.76,Ideal,E,SI1,61.8,57.0,3170,5.84,5.87,3.62,True,4,2,5
2334,0.75,Ideal,E,SI1,62.1,55.0,3170,5.81,5.85,3.62,True,4,2,5
2335,0.74,Premium,F,VS1,61.7,57.0,3170,5.85,5.79,3.59,True,3,4,4
2336,0.74,Ideal,F,VS1,62.3,56.0,3170,5.79,5.76,3.6,True,4,4,4
2337,1.09,Fair,F,SI2,66.3,56.0,3170,6.47,6.39,4.27,True,0,1,4
2338,0.74,Ideal,F,VS1,61.7,56.0,3170,5.83,5.78,3.58,True,4,4,4
2339,0.74,Ideal,F,VS1,62.3,57.0,3170,5.79,5.77,3.6,True,4,4,4
2340,0.74,Ideal,F,VS2,62.1,56.0,3171,5.79,5.83,3.61,True,4,3,4
2341,0.83,Very Good,G,SI1,62.3,58.0,3171,5.97,6.01,3.73,True,2,2,3
2342,0.83,Ideal,H,VS2,61.6,55.0,3171,6.04,6.08,3.73,True,4,3,2
2343,0.78,Ideal,G,VS2,62.2,57.0,3171,5.87,5.9,3.66,True,4,3,3
2344,0.75,Ideal,G,SI1,61.8,55.0,3171,5.81,5.84,3.6,True,4,2,3
2345,0.83,Ideal,G,SI1,61.8,55.0,3171,6.05,6.09,3.75,True,4,2,3
2346,0.79,Ideal,E,SI1,60.3,56.0,3171,5.99,6.05,3.63,True,4,2,5
2347,1.03,Ideal,H,I1,61.5,57.0,3172,6.48,6.52,4.0,True,4,0,2
2348,1.03,Premium,H,I1,61.1,60.0,3172,6.46,6.51,3.96,True,3,0,2
2349,1.03,Ideal,H,SI2,62.4,57.0,3172,6.43,6.36,4.0,True,4,1,2
2350,0.7,Ideal,G,VS2,62.7,54.0,3172,5.65,5.7,3.65,False,4,3,3
2351,0.7,Ideal,E,VS2,62.2,55.0,3172,5.64,5.67,3.52,True,4,3,5
2352,0.84,Fair,F,VS2,65.0,57.2,3172,5.83,5.87,3.81,True,0,3,4
2353,0.93,Fair,G,SI2,66.1,58.1,3172,6.0,6.04,3.98,True,0,1,3
2354,0.7,Very Good,E,SI1,63.9,57.0,3173,5.55,5.66,3.58,True,2,2,5
2355,1.01,Premium,G,SI2,60.1,58.0,3173,6.54,6.39,3.89,True,3,1,3
2356,0.8,Ideal,D,SI2,61.5,58.0,3173,5.97,6.0,3.68,True,4,1,6
2357,1.01,Fair,G,SI2,68.5,63.0,3173,6.08,6.0,4.14,True,0,1,3
2358,0.92,Premium,H,SI2,60.4,59.0,3174,6.36,6.33,3.83,True,3,1,2
2359,0.71,Very Good,F,VS1,62.9,55.0,3175,5.68,5.71,3.58,True,2,4,4
2360,0.7,Ideal,H,VVS1,60.2,57.0,3175,5.78,5.82,3.49,True,4,6,2
2361,0.9,Ideal,J,VS1,62.5,55.0,3175,6.18,6.14,3.85,True,4,4,0
2362,0.7,Premium,E,VS1,62.9,61.0,3175,5.65,5.57,3.53,True,3,4,5
2363,0.9,Premium,G,SI2,61.9,61.0,3175,6.13,6.06,3.77,True,3,1,3
2364,0.9,Premium,J,VS1,62.3,56.0,3175,6.23,6.19,3.87,True,3,4,0
2365,0.7,Good,E,VS1,63.6,58.0,3175,5.67,5.62,3.59,True,1,4,5
2366,1.0,Fair,J,SI1,65.3,57.0,3175,6.33,6.12,4.08,True,0,2,0
2367,1.5,Fair,H,I1,69.3,61.0,3175,6.99,6.81,4.78,True,0,0,2
2368,0.9,Very Good,I,SI1,61.8,58.0,3176,6.2,6.26,3.85,True,2,2,1
2369,0.9,Good,I,SI1,63.5,59.0,3176,6.05,6.1,3.86,True,1,2,1
2370,0.77,Ideal,G,VS1,62.4,54.0,3176,5.89,5.93,3.69,True,4,4,3
2371,0.32,Ideal,F,SI2,61.7,56.0,561,4.41,4.44,2.73,True,4,1,4
2372,0.32,Premium,G,VS2,62.5,58.0,561,4.36,4.38,2.73,True,3,3,3
2373,0.32,Ideal,G,VS2,62.0,57.0,561,4.39,4.41,2.73,True,4,3,3
2374,0.32,Ideal,H,VS1,61.8,55.0,561,4.41,4.42,2.73,True,4,4,2
2375,0.32,Ideal,G,VS2,61.5,57.0,561,4.4,4.41,2.71,True,4,3,3
2376,0.32,Very Good,H,VS1,63.0,55.0,561,4.4,4.42,2.78,True,2,4,2
2377,0.32,Premium,I,VVS2,62.1,59.0,561,4.35,4.38,2.71,True,3,5,1
2378,0.32,Very Good,I,VVS2,63.0,57.0,561,4.33,4.37,2.74,True,2,5,1
2379,0.32,Very Good,G,VS2,62.8,58.0,561,4.31,4.35,2.72,True,2,3,3
2380,0.32,Premium,G,VS2,60.8,59.0,561,4.41,4.44,2.69,True,3,3,3
2381,0.32,Premium,G,VS2,61.1,58.0,561,4.42,4.45,2.71,True,3,3,3
2382,0.32,Very Good,G,VS2,59.9,57.0,561,4.47,4.51,2.69,True,2,3,3
2383,0.32,Very Good,H,VS1,62.8,58.0,561,4.35,4.37,2.74,True,2,4,2
2384,0.32,Very Good,E,SI1,62.2,58.0,561,4.36,4.39,2.72,True,2,2,5
2385,0.32,Premium,E,SI1,62.3,58.0,561,4.37,4.4,2.73,True,3,2,5
2386,0.4,Good,H,SI2,63.8,57.0,561,4.67,4.7,2.99,True,1,1,2
2387,0.32,Premium,G,VS2,61.5,60.0,561,4.36,4.39,2.69,True,3,3,3
2388,0.32,Premium,G,VS2,60.7,58.0,561,4.38,4.42,2.67,True,3,3,3
2389,0.32,Premium,G,VS2,61.5,59.0,561,4.4,4.42,2.71,True,3,3,3
2390,0.32,Ideal,G,VS2,61.4,57.0,561,4.39,4.4,2.7,True,4,3,3
2391,0.32,Ideal,G,VS2,62.0,57.0,561,4.37,4.4,2.72,True,4,3,3
2392,0.32,Ideal,E,SI1,61.8,55.0,561,4.42,4.45,2.74,True,4,2,5
2393,0.32,Ideal,H,VS1,61.1,56.0,561,4.44,4.46,2.72,True,4,4,2
2394,0.32,Ideal,G,VS2,62.5,56.0,561,4.38,4.42,2.75,True,4,3,3
2395,0.32,Very Good,H,VS1,62.8,55.0,561,4.35,4.41,2.75,True,2,4,2
2396,0.32,Ideal,G,VS2,61.8,55.0,561,4.41,4.43,2.73,True,4,3,3
2397,0.32,Premium,G,VS2,61.2,59.0,561,4.38,4.41,2.69,True,3,3,3
2398,0.32,Very Good,G,VS2,62.0,59.0,561,4.37,4.41,2.72,True,2,3,3
2399,0.26,Very Good,F,VVS1,61.3,58.0,562,4.13,4.16,2.54,True,2,6,4
2400,0.31,Ideal,G,VS2,61.7,55.0,562,4.37,4.39,2.7,True,4,3,3
2401,0.7,Ideal,E,VS2,61.1,56.0,3176,5.73,5.76,3.51,True,4,3,5
2402,0.72,Ideal,D,SI2,60.5,57.0,3176,5.82,5.89,3.54,True,4,1,6
2403,0.7,Very Good,E,VS1,63.8,57.0,3177,5.61,5.65,3.59,True,2,4,5
2404,0.74,Ideal,D,VS2,61.1,54.0,3177,5.86,5.89,3.59,True,4,3,6
2405,0.67,Very Good,G,VVS1,62.0,56.0,3178,5.6,5.62,3.48,True,2,6,3
2406,0.74,Ideal,H,VS2,62.2,55.0,3178,5.83,5.81,3.62,True,4,3,2
2407,0.72,Ideal,G,VVS2,62.6,56.0,3179,5.7,5.74,3.58,True,4,5,3
2408,0.72,Ideal,D,VS2,60.8,56.0,3179,5.8,5.84,3.54,True,4,3,6
2409,0.72,Ideal,D,VS2,62.1,57.0,3179,5.69,5.75,3.55,True,4,3,6
2410,0.72,Ideal,D,VS2,62.8,57.0,3179,5.68,5.73,3.58,True,4,3,6
2411,0.81,Good,D,SI1,63.9,58.0,3179,5.9,5.85,3.75,True,1,2,6
2412,1.5,Good,G,I1,57.4,62.0,3179,7.56,7.39,4.29,True,1,0,3
2413,0.74,Very Good,E,VS2,61.8,58.0,3180,5.79,5.82,3.59,True,2,3,5
2414,0.93,Very Good,J,VS2,61.1,59.0,3180,6.32,6.34,3.87,True,2,3,0
2415,0.87,Very Good,H,SI1,62.2,57.0,3180,6.05,6.11,3.78,True,2,2,2
2416,0.72,Ideal,H,VVS1,60.8,58.0,3180,5.77,5.8,3.52,True,4,6,2
2417,0.72,Ideal,H,VVS1,61.8,55.0,3180,5.74,5.78,3.56,True,4,6,2
2418,0.72,Ideal,H,VVS1,61.5,57.0,3180,5.74,5.76,3.54,True,4,6,2
2419,0.91,Fair,H,SI1,64.4,60.0,3180,6.1,6.07,3.92,True,0,2,2
2420,0.91,Fair,H,SI1,64.8,57.0,3180,6.12,6.07,3.95,True,0,2,2
2421,0.91,Premium,H,SI1,62.2,56.0,3180,6.23,6.18,3.86,True,3,2,2
2422,0.91,Very Good,J,SI2,62.0,56.0,3181,6.18,6.23,3.85,True,2,1,0
2423,0.95,Premium,G,SI2,62.6,58.0,3181,6.22,6.18,3.88,True,3,1,3
2424,0.63,Ideal,E,VVS1,61.1,58.0,3181,5.49,5.54,3.37,True,4,6,5
2425,0.92,Ideal,J,SI1,61.7,57.0,3181,6.21,6.26,3.85,True,4,2,0
2426,0.95,Premium,G,SI2,59.8,60.0,3181,6.36,6.34,3.8,True,3,1,3
2427,0.8,Ideal,I,VVS1,61.7,56.0,3181,5.98,5.92,3.67,True,4,6,1
2428,0.73,Very Good,D,VS2,63.5,58.0,3182,5.68,5.72,3.62,True,2,3,6
2429,0.73,Ideal,D,VS2,62.1,56.0,3182,5.77,5.8,3.59,True,4,3,6
2430,0.73,Ideal,G,VVS2,61.9,56.0,3183,5.74,5.81,3.61,False,4,5,3
2431,0.73,Ideal,G,VVS2,62.2,55.0,3183,5.74,5.77,3.58,True,4,5,3
2432,0.72,Very Good,E,SI1,63.3,56.0,3183,5.67,5.71,3.6,True,2,2,5
2433,1.11,Premium,I,I1,61.8,59.0,3183,6.65,6.58,4.09,True,3,0,1
2434,0.85,Ideal,H,SI1,60.8,57.0,3183,6.13,6.18,3.74,True,4,2,2
2435,0.76,Ideal,G,VS2,61.5,55.0,3183,5.92,5.88,3.63,True,4,3,3
2436,0.7,Premium,D,VS1,60.9,60.0,3183,5.75,5.71,3.49,True,3,4,6
2437,0.73,Very Good,E,VS2,62.9,58.0,3184,5.7,5.75,3.6,True,2,3,5
2438,0.78,Ideal,G,VS2,61.7,55.0,3184,5.94,5.89,3.65,True,4,3,3
2439,0.7,Ideal,H,VS1,61.2,55.0,3185,5.71,5.76,3.51,True,4,4,2
2440,0.7,Ideal,H,VS1,61.0,56.0,3185,5.75,5.79,3.51,True,4,4,2
2441,0.7,Ideal,H,VS1,61.7,57.0,3185,5.66,5.7,3.5,True,4,4,2
2442,0.79,Ideal,D,SI1,61.2,56.0,3185,6.02,5.95,3.66,True,4,2,6
2443,0.72,Premium,G,IF,60.1,58.0,3185,5.89,5.86,3.53,True,3,7,3
2444,0.9,Fair,E,SI2,57.5,68.0,3187,6.37,6.33,3.65,True,0,1,5
2445,0.96,Premium,J,SI1,62.9,59.0,3187,6.3,6.22,3.94,True,3,2,0
2446,0.9,Very Good,E,SI2,63.4,56.0,3187,6.15,5.99,3.85,True,2,1,5
2447,1.03,Good,J,SI2,56.2,62.0,3188,6.69,6.73,3.77,True,1,1,0
2448,0.9,Very Good,J,VS1,62.5,56.0,3188,6.11,6.21,3.85,True,2,4,0
2449,0.75,Good,G,VVS1,58.4,56.0,3188,5.98,6.06,3.52,True,1,6,3
2450,0.77,Ideal,E,SI1,61.6,57.0,3189,5.87,5.91,3.63,True,4,2,5
2451,0.91,Very Good,G,SI2,60.3,59.0,3189,6.23,6.28,3.77,True,2,1,3
2452,0.85,Ideal,E,SI2,62.8,57.0,3189,6.06,6.01,3.79,True,4,1,5
2453,0.71,Ideal,H,VS2,61.9,55.0,3189,5.74,5.77,3.56,True,4,3,2
2454,0.74,Ideal,E,VS2,59.5,57.0,3189,5.92,5.94,3.53,True,4,3,5
2455,0.73,Ideal,D,SI1,61.8,56.0,3189,5.8,5.76,3.57,True,4,2,6
2456,0.73,Ideal,D,SI1,61.9,56.0,3189,5.8,5.77,3.58,True,4,2,6
2457,1.01,Premium,J,VS2,62.4,60.0,3190,6.45,6.35,3.99,True,3,3,0
2458,0.71,Ideal,H,IF,62.0,54.0,3190,5.71,5.75,3.55,True,4,7,2
2459,0.89,Premium,G,SI1,61.1,58.0,3190,6.24,6.17,3.79,True,3,2,3
2460,0.92,Premium,I,SI1,62.9,60.0,3190,6.18,6.13,3.87,True,3,2,1
2461,1.01,Fair,J,VS2,65.8,55.0,3190,6.29,6.24,4.12,True,0,3,0
2462,0.7,Ideal,G,VVS2,60.6,56.0,3191,5.69,5.82,3.49,True,4,5,3
2463,0.7,Ideal,G,VVS2,60.3,57.0,3191,5.75,5.83,3.49,True,4,5,3
2464,0.7,Ideal,F,VVS2,62.0,55.0,3191,5.71,5.67,3.53,True,4,5,4
2465,0.71,Ideal,E,VS2,62.1,57.0,3191,5.71,5.75,3.56,True,4,3,5
2466,0.71,Ideal,E,VS2,62.0,57.0,3191,5.71,5.74,3.55,True,4,3,5
2467,0.8,Ideal,E,VS2,61.4,55.0,3192,5.96,5.99,3.67,True,4,3,5
2468,0.71,Ideal,D,VS1,62.2,55.0,3192,5.71,5.74,3.56,True,4,4,6
2469,0.75,Ideal,E,VS2,60.2,57.0,3192,5.93,5.9,3.56,True,4,3,5
2470,0.71,Very Good,E,VS1,62.1,60.0,3192,5.65,5.71,3.53,True,2,4,5
2471,0.71,Very Good,E,VS1,61.5,57.0,3192,5.74,5.77,3.54,True,2,4,5
2472,0.81,Ideal,G,SI1,62.2,57.0,3192,5.97,6.02,3.73,True,4,2,3
2473,0.76,Ideal,E,VS2,61.5,56.0,3192,5.92,5.89,3.63,True,4,3,5
2474,0.91,Good,H,VS2,63.8,59.0,3192,5.99,5.96,3.82,True,1,3,2
2475,1.0,Good,H,SI2,62.0,64.0,3192,6.43,6.29,3.94,True,1,1,2
2476,0.76,Premium,E,VS2,60.1,59.0,3192,6.01,5.97,3.6,True,3,3,5
2477,1.0,Fair,H,SI2,64.4,57.0,3192,6.35,6.29,4.07,True,0,1,2
2478,0.81,Premium,G,VS2,61.4,60.0,3193,6.02,5.99,3.69,True,3,3,3
2479,0.73,Ideal,F,VVS2,62.2,54.0,3193,5.8,5.75,3.59,True,4,5,4
2480,0.9,Good,J,VVS2,57.4,61.0,3193,6.42,6.37,3.67,True,1,5,0
2481,0.7,Good,D,VS1,60.4,63.0,3193,5.68,5.74,3.45,True,1,4,6
2482,0.81,Premium,G,VS2,62.9,58.0,3193,5.94,5.88,3.72,True,3,3,3
2483,0.9,Good,H,SI2,63.6,60.0,3193,6.11,6.06,3.87,True,1,1,2
2484,0.54,Premium,D,VVS1,61.4,57.5,3194,5.25,5.28,3.23,True,3,6,6
2485,0.83,Very Good,G,VS2,62.7,58.0,3195,5.97,6.03,3.76,True,2,3,3
2486,0.73,Ideal,D,SI1,62.4,53.0,3195,5.79,5.82,3.62,True,4,2,6
2487,0.71,Ideal,G,VS1,62.3,54.0,3195,5.68,5.72,3.55,True,4,4,3
2488,0.8,Ideal,D,SI1,61.7,56.0,3195,5.96,6.0,3.69,True,4,2,6
2489,0.83,Good,G,VS2,63.7,60.9,3195,5.84,5.92,3.75,True,1,3,3
2490,0.91,Very Good,F,SI1,63.5,58.0,3195,6.15,6.1,3.89,True,2,2,4
2491,0.91,Very Good,F,SI1,63.3,60.0,3195,6.1,6.06,3.85,True,2,2,4
2492,0.6,Ideal,F,VVS2,61.5,57.0,3196,5.42,5.45,3.34,True,4,5,4
2493,0.9,Good,I,SI1,63.0,53.0,3196,6.08,6.15,3.85,True,1,2,1
2494,0.91,Ideal,F,SI2,61.7,55.0,3196,6.27,6.2,3.85,True,4,1,4
2495,0.9,Very Good,J,VS1,62.9,56.0,3197,6.13,6.18,3.87,True,2,4,0
2496,0.51,Ideal,E,VVS1,61.3,56.0,3197,5.13,5.21,3.17,True,4,6,5
2497,0.77,Very Good,G,VS1,61.1,54.0,3197,5.91,5.94,3.62,True,2,4,3
2498,1.01,Fair,F,SI1,66.1,60.0,3197,6.15,6.13,4.06,True,0,2,4
2499,0.83,Premium,F,SI1,62.0,59.0,3198,6.04,5.99,3.73,True,3,2,4
2500,0.73,Ideal,E,VS2,62.2,59.0,3198,5.74,5.77,3.58,True,4,3,5
2501,0.71,Ideal,E,VS1,61.4,59.0,3198,5.71,5.75,3.52,True,4,4,5
2502,0.71,Ideal,E,VS1,62.3,56.0,3198,5.66,5.7,3.54,True,4,4,5
2503,0.83,Ideal,F,SI1,62.1,55.0,3198,6.05,6.0,3.74,True,4,2,4
2504,0.7,Premium,E,VS2,61.0,59.0,3199,5.74,5.7,3.49,True,3,3,5
2505,1.0,Fair,J,SI2,56.3,64.0,3199,6.58,6.54,3.69,True,0,1,0
2506,0.71,Ideal,F,VS1,62.6,57.0,3199,5.7,5.73,3.58,True,4,4,4
2507,0.71,Ideal,F,VS1,61.1,56.0,3199,5.71,5.74,3.5,True,4,4,4
2508,1.02,Very Good,E,I1,60.6,63.0,3199,6.52,6.46,3.93,True,2,0,5
2509,0.7,Ideal,F,VS1,62.4,56.0,3199,5.67,5.65,3.53,True,4,4,4
2510,0.7,Ideal,D,SI1,61.7,57.0,3199,5.76,5.73,3.54,True,4,2,6
2511,1.02,Premium,H,I1,62.5,60.0,3199,6.41,6.39,4.0,True,3,0,2
2512,0.73,Very Good,F,VS1,62.0,57.0,3200,5.73,5.75,3.56,True,2,4,4
2513,0.74,Ideal,F,VS2,62.1,56.0,3200,5.83,5.79,3.61,True,4,3,4
2514,0.9,Ideal,E,SI2,62.6,56.0,3200,6.15,6.06,3.82,True,4,1,5
2515,0.9,Good,H,SI1,63.8,57.0,3201,6.07,6.13,3.89,True,1,2,2
2516,0.7,Ideal,E,VS2,60.5,59.0,3201,5.72,5.75,3.47,True,4,3,5
2517,0.7,Ideal,E,VS2,61.1,59.0,3201,5.67,5.73,3.48,True,4,3,5
2518,0.73,Ideal,E,VS2,62.4,57.0,3201,5.75,5.79,3.6,True,4,3,5
2519,0.84,Ideal,I,VS1,61.4,57.0,3201,6.03,6.09,3.72,True,4,4,1
2520,0.76,Ideal,F,VS2,61.0,55.0,3201,5.92,5.89,3.6,True,4,3,4
2521,0.71,Very Good,D,VS2,59.7,55.0,3203,5.85,5.88,3.5,True,2,3,6
2522,1.04,Good,H,I1,63.9,58.0,3203,6.35,6.42,4.08,True,1,0,2
2523,1.04,Very Good,H,I1,61.6,61.0,3203,6.45,6.47,3.98,True,2,0,2
2524,0.7,Very Good,F,VVS1,63.3,62.0,3204,5.67,5.57,3.56,True,2,6,4
2525,0.7,Premium,F,VVS1,63.0,60.0,3204,5.62,5.59,3.53,True,3,6,4
2526,1.02,Ideal,G,SI2,62.3,56.0,3204,6.39,6.35,3.97,True,4,1,3
2527,1.04,Good,J,SI2,63.8,56.0,3204,6.36,6.32,4.05,True,1,1,0
2528,0.7,Very Good,F,VVS2,60.5,60.0,3205,5.7,5.73,3.46,True,2,5,4
2529,1.11,Premium,H,I1,61.0,59.0,3205,6.61,6.67,4.05,True,3,0,2
2530,0.7,Ideal,G,VVS2,60.8,56.0,3205,5.75,5.79,3.51,True,4,5,3
2531,0.7,Ideal,G,VVS2,61.0,56.0,3205,5.74,5.77,3.51,True,4,5,3
2532,0.71,Fair,F,IF,58.7,62.0,3205,5.87,5.81,3.43,True,0,7,4
2533,0.9,Premium,D,SI2,62.7,59.0,3205,6.2,6.14,3.87,True,3,1,6
2534,0.9,Fair,D,SI2,65.9,59.0,3205,6.0,5.95,3.94,True,0,1,6
2535,0.9,Fair,D,SI2,66.0,58.0,3205,6.0,5.97,3.95,True,0,1,6
2536,0.9,Fair,D,SI2,64.7,54.0,3205,6.1,6.04,3.93,True,0,1,6
2537,0.9,Fair,D,SI2,65.7,60.0,3205,5.98,5.93,3.91,True,0,1,6
2538,0.9,Fair,D,SI2,64.7,59.0,3205,6.09,5.99,3.91,True,0,1,6
2539,0.9,Premium,D,SI2,59.0,61.0,3205,6.32,6.28,3.72,True,3,1,6
2540,0.72,Premium,D,VS2,60.6,57.0,3205,5.82,5.79,3.52,True,3,3,6
2541,0.75,Premium,E,VS2,61.8,58.0,3206,5.83,5.85,3.61,True,3,3,5
2542,0.75,Ideal,E,VS2,61.7,56.0,3206,5.84,5.86,3.61,True,4,3,5
2543,0.75,Very Good,E,VS2,62.8,55.0,3206,5.77,5.79,3.63,True,2,3,5
2544,0.58,Ideal,D,VVS1,60.6,57.0,3206,5.38,5.41,3.27,True,4,6,6
2545,0.7,Ideal,G,VS1,61.2,56.0,3206,5.71,5.75,3.5,True,4,4,3
2546,0.7,Ideal,G,VS1,61.4,55.0,3206,5.71,5.76,3.53,True,4,4,3
